drug_1,drug_2,drug_3,diluent,classification,qualifiers,reference_ids
Cyclizine,Fentanyl,,WFI,2,,"2, 4"
Glycopyrronium bromide (glycopyrrolate),Fentanyl,,WFI,1,,4
Haloperidol,Fentanyl,,WFI,1,H,4
Hyoscine Butylbromide,Fentanyl,,WFI,1,,4
Levomepromazine,Fentanyl,,WFI,1,,4
Metoclopramide,Fentanyl,,WFI,1,,4
Midazolam,Fentanyl,,WFI,1,,4
Ondansetron,Fentanyl,,WFI,1,,4
Ranitidine,Fentanyl,,WFI,1,,4
Ketamine,Fentanyl,,NaCl,7,,"2, 3"
Midazolam,Fentanyl,,NaCl,7,,2
Ondansetron,Fentanyl,,NaCl,7,,2
Ranitidine,Fentanyl,,NaCl,1,,4
Cyclizine,Hydromorphone,,WFI,2,,"1, 2, 3"
Glycopyrronium bromide (glycopyrrolate),Hydromorphone,,WFI,7,,"1, 2"
Haloperidol,Hydromorphone,,WFI,2,H,"1, 2"
Hyoscine Butylbromide,Hydromorphone,,WFI,7,,"1, 2"
Ketamine,Hydromorphone,,WFI,7,,"1, 2"
Ketorolac,Hydromorphone,,WFI,2,,1
Levomepromazine,Hydromorphone,,WFI,7,,"1, 2"
Metoclopramide,Hydromorphone,,WFI,7,,"1, 2"
Midazolam,Hydromorphone,,WFI,7,,"1, 2"
Octreotide,Hydromorphone,,WFI,1,,4
Clonazepam,Hydromorphone,,NaCl,1,C,"1, 4"
Glycopyrronium bromide (glycopyrrolate),Hydromorphone,,NaCl,7,,"1, 2"
Haloperidol,Hydromorphone,,NaCl,2,H,"1, 2"
Hyoscine Butylbromide,Hydromorphone,,NaCl,7,,"1, 2"
Ketamine,Hydromorphone,,NaCl,7,,"1, 2"
Ketorolac,Hydromorphone,,NaCl,1,,4
Levomepromazine,Hydromorphone,,NaCl,7,,"1, 2"
Metoclopramide,Hydromorphone,,NaCl,7,,"1, 2"
Midazolam,Hydromorphone,,NaCl,7,,"1, 2"
Octreotide,Hydromorphone,,NaCl,1,,4
Ondansetron,Hydromorphone,,NaCl,7,,"1, 2, 3"
Ranitidine,Hydromorphone,,NaCl,1,,4
Clonazepam,Methadone,,WFI,1,C,4
Cyclizine,Methadone,,WFI,1,,4
Haloperidol,Methadone,,WFI,1,H,4
Hyoscine Butylbromide,Methadone,,WFI,1,,4
Ketamine,Methadone,,WFI,1,,4
Levomepromazine,Methadone,,WFI,1,,4
Metoclopramide,Methadone,,WFI,1,,4
Midazolam,Methadone,,WFI,1,,4
Ranitidine,Methadone,,WFI,1,,4
Clonazepam,Methadone,,NaCl,1,C,2
Glycopyrronium bromide (glycopyrrolate),Methadone,,NaCl,1,,2
Haloperidol,Methadone,,NaCl,1,H,2
Hyoscine Butylbromide,Methadone,,NaCl,1,,4
Ketamine,Methadone,,NaCl,1,,4
Ketorolac,Methadone,,NaCl,6,P,"2, 3"
Levomepromazine,Methadone,,NaCl,1,,4
Midazolam,Methadone,,NaCl,1,,2
Octreotide,Methadone,,NaCl,1,,4
Ranitidine,Methadone,,NaCl,1,,4
Haloperidol,Morphine hydrochloride,,WFI,6,H,3
Hyoscine Butylbromide,Morphine hydrochloride,,WFI,6,,3
Haloperidol,Morphine hydrochloride,,NaCl,7,H,"2, 4"
